Agency Name,Complaint Type,Descriptor,Incident Zip,City,Community Board,Borough
Department of Transportation,Traffic Signal Condition,Controller,,,Unspecified QUEENS,QUEENS
Department of Transportation,Street Condition,Defective Hardware,11417,OZONE PARK,10 QUEENS,QUEENS
Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),11203,BROOKLYN,Unspecified BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,No Access,11215,BROOKLYN,07 BROOKLYN,BROOKLYN
Manhattan 01,Missed Collection (All Materials),1RB Missed Recycling - M/G/Pl,10013,NEW YORK,01 MANHATTAN,MANHATTAN
Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,10466,BRONX,12 BRONX,BRONX
Department of Transportation,Traffic Signal Condition,Controller,,,Unspecified BRONX,BRONX
Department of Buildings,Plumbing,Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler,11419,South Richmond Hill,09 QUEENS,QUEENS
Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),10028,NEW YORK,08 MANHATTAN,MANHATTAN
Department of Transportation,Traffic Signal Condition,Controller,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Transportation,Traffic Signal Condition,Controller,11206,BROOKLYN,01 BROOKLYN,BROOKLYN
Department of Buildings,General Construction/Plumbing,Fence - None/Inadequate,11419,South Richmond Hill,09 QUEENS,QUEENS
Department of Transportation,Broken Muni Meter,Out of Order,11354,FLUSHING,07 QUEENS,QUEENS
Department of Transportation,Traffic Signal Condition,Controller,11693,Far Rockaway,14 QUEENS,QUEENS
Department of Transportation,Broken Muni Meter,No Receipt,10003,NEW YORK,06 MANHATTAN,MANHATTAN
HRA Benefit Card Replacement,Benefit Card Replacement,Medicaid,,,0 Unspecified,Unspecified
Department of Transportation,Street Light Condition,Street Light Out,10469,BRONX,12 BRONX,BRONX
Department of Transportation,Broken Muni Meter,No Receipt,10023,NEW YORK,07 MANHATTAN,MANHATTAN
Brooklyn North 03,Missed Collection (All Materials),1RG Missed Recycling Paper,11233,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,11419,South Richmond Hill,09 QUEENS,QUEENS
Department of Transportation,Traffic Signal Condition,Controller,11691,Far Rockaway,14 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
Brooklyn North 03,Missed Collection (All Materials),1 Missed Collection,11233,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,11377,Woodside,03 QUEENS,QUEENS
Department of Buildings,Elevator,Elevator - Defective/Not Working,10468,BRONX,08 BRONX,BRONX
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11432,Jamaica,12 QUEENS,QUEENS
Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11429,Queens Village,13 QUEENS,QUEENS
Department of Transportation,Broken Muni Meter,No Receipt,10019,NEW YORK,04 MANHATTAN,MANHATTAN
New York City Police Department,Illegal Parking,Blocked Sidewalk,10016,NEW YORK,05 MANHATTAN,MANHATTAN
Department of Sanitation,Graffiti,Graffiti,11361,Bayside,11 QUEENS,QUEENS
Department of Environmental Protection,Hazardous Materials,Chemical Spill/Release (HA1),10014,NEW YORK,02 MANHATTAN,MANHATTAN
Department of Transportation,Traffic Signal Condition,Controller,,,Unspecified BRONX,BRONX
Department of Transportation,Street Light Condition,Street Light Out,,,Unspecified QUEENS,QUEENS
Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,10309,STATEN ISLAND,03 STATEN ISLAND,STATEN ISLAND
A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,11413,Springfield Gardens,13 QUEENS,QUEENS
Department of Transportation,Street Light Condition,Street Light Out,11434,Jamaica,13 QUEENS,QUEENS
Manhattan 02,Missed Collection (All Materials),1RG Missed Recycling Paper,10014,NEW YORK,02 MANHATTAN,MANHATTAN
Department of Transportation,Street Condition,Plate Condition - Noisy,11419,SOUTH RICHMOND HILL,10 QUEENS,QUEENS
Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,10003,NEW YORK,02 MANHATTAN,MANHATTAN
Department of Transportation,Street Light Condition,Street Light Out,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,No Access,11040,NEW HYDE PARK,13 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,Partial Access,10314,STATEN ISLAND,02 STATEN ISLAND,STATEN ISLAND
New York City Police Department,Blocked Driveway,No Access,11229,BROOKLYN,15 BROOKLYN,BROOKLYN
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,11420,SOUTH OZONE PARK,10 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,Partial Access,11236,BROOKLYN,18 BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,No Access,11237,BROOKLYN,04 BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,Partial Access,11420,SOUTH OZONE PARK,10 QUEENS,QUEENS
Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,11356,COLLEGE POINT,07 QUEENS,QUEENS
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11372,Jackson Heights,03 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,10452,BRONX,04 BRONX,BRONX
A - Illegal Posting Manhattan and Bronx,Dirty Conditions,E15 Illegal Postering,10452,BRONX,04 BRONX,BRONX
"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,11412,Saint Albans,12 QUEENS,QUEENS
"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,11412,Saint Albans,12 QUEENS,QUEENS
"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,11412,Saint Albans,12 QUEENS,QUEENS
"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,11422,Rosedale,13 QUEENS,QUEENS
"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,11412,Saint Albans,12 QUEENS,QUEENS
"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,11412,Saint Albans,12 QUEENS,QUEENS
"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,11412,Saint Albans,12 QUEENS,QUEENS
A - Illegal Posting Manhattan and Bronx,Dirty Conditions,E15 Illegal Postering,10456,BRONX,04 BRONX,BRONX
BCC - Queens East,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,11411,Cambria Heights,13 QUEENS,QUEENS
A - Illegal Posting Manhattan and Bronx,Dirty Conditions,E15 Illegal Postering,10456,BRONX,04 BRONX,BRONX
"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,11412,Saint Albans,12 QUEENS,QUEENS
A - Illegal Posting Manhattan and Bronx,Dirty Conditions,E15 Illegal Postering,10452,BRONX,04 BRONX,BRONX
"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,11213,BROOKLYN,09 BROOKLYN,BROOKLYN
"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,11412,Saint Albans,12 QUEENS,QUEENS
"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,11412,Saint Albans,12 QUEENS,QUEENS
A - Illegal Posting Manhattan and Bronx,Dirty Conditions,E15 Illegal Postering,10456,BRONX,04 BRONX,BRONX
A - Illegal Posting Manhattan and Bronx,Dirty Conditions,E15 Illegal Postering,10457,BRONX,04 BRONX,BRONX
A - Illegal Posting Manhattan and Bronx,Dirty Conditions,E15 Illegal Postering,,,04 BRONX,BRONX
A - Illegal Posting Manhattan and Bronx,Dirty Conditions,E15 Illegal Postering,10457,BRONX,04 BRONX,BRONX
A - Illegal Posting Manhattan and Bronx,Dirty Conditions,E15 Illegal Postering,10456,BRONX,04 BRONX,BRONX
A - Illegal Posting Manhattan and Bronx,Dirty Conditions,E15 Illegal Postering,10453,BRONX,05 BRONX,BRONX
"A - Illegal Posting Staten Island, Queens and Brooklyn",Dirty Conditions,E15 Illegal Postering,11412,Saint Albans,12 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,11368,CORONA,03 QUEENS,QUEENS
Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,11217,BROOKLYN,06 BROOKLYN,BROOKLYN
Department of Transportation,Broken Muni Meter,Coin or Card Did Not Register,10017,NEW YORK,06 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,Partial Access,11218,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Transportation,Traffic Signal Condition,Controller,,,Unspecified BRONX,BRONX
New York City Police Department,Blocked Driveway,Partial Access,11379,MIDDLE VILLAGE,05 QUEENS,QUEENS
Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,11377,Woodside,03 QUEENS,QUEENS
Department of Transportation,Traffic Signal Condition,Messenger,11377,Woodside,03 QUEENS,QUEENS
Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,11370,East Elmhurst,03 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,10452,BRONX,04 BRONX,BRONX
BCC - Queens West,Derelict Vehicles,14 Derelict Vehicles,11418,Richmond Hill,09 QUEENS,QUEENS
A - Illegal Posting Manhattan and Bronx,Dirty Conditions,E15 Illegal Postering,10461,BRONX,10 BRONX,BRONX
Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,11370,East Elmhurst,03 QUEENS,QUEENS
A - Illegal Posting Manhattan and Bronx,Dirty Conditions,E15 Illegal Postering,10461,BRONX,11 BRONX,BRONX
Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11234,BROOKLYN,18 BROOKLYN,BROOKLYN
Department of Buildings,Elevator,Elevator - Defective/Not Working,10467,BRONX,07 BRONX,BRONX
BCC - Queens West,Derelict Vehicles,14 Derelict Vehicles,11418,Richmond Hill,09 QUEENS,QUEENS
Department of Buildings,Elevator,Elevator - Defective/Not Working,10025,NEW YORK,07 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,No Access,11379,MIDDLE VILLAGE,05 QUEENS,QUEENS
New York City Police Department,Derelict Vehicle,With License Plate,10464,BRONX,10 BRONX,BRONX
HRA Benefit Card Replacement,Benefit Card Replacement,Food Stamp,,,0 Unspecified,Unspecified
A - Manhattan,Dirty Conditions,E3 Dirty Sidewalk,10001,NEW YORK,04 MANHATTAN,MANHATTAN
Department of Transportation,Broken Muni Meter,No Receipt,10019,NEW YORK,05 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,No Access,11421,WOODHAVEN,09 QUEENS,QUEENS
Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,11369,East Elmhurst,03 QUEENS,QUEENS
Department of Health and Mental Hygiene,Smoking,Smoking Violation,11418,RICHMOND HILL,09 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,11419,SOUTH RICHMOND HILL,10 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,10019,NEW YORK,04 MANHATTAN,MANHATTAN
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,10036,NEW YORK,04 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,No Access,11223,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,11375,FOREST HILLS,06 QUEENS,QUEENS
Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,11370,East Elmhurst,03 QUEENS,QUEENS
Department of Transportation,Traffic Signal Condition,Controller,11204,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Transportation,Street Light Condition,Fixture/Luminaire Hanging,11691,Far Rockaway,14 QUEENS,QUEENS
Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,11377,Woodside,03 QUEENS,QUEENS
Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,11370,East Elmhurst,03 QUEENS,QUEENS
Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,11370,East Elmhurst,03 QUEENS,QUEENS
Department of Transportation,Broken Muni Meter,No Receipt,10036,NEW YORK,04 MANHATTAN,MANHATTAN
Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,11372,Jackson Heights,03 QUEENS,QUEENS
Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,11372,Jackson Heights,03 QUEENS,QUEENS
New York City Police Department,Illegal Parking,Commercial Overnight Parking,10306,STATEN ISLAND,02 STATEN ISLAND,STATEN ISLAND
New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,11105,ASTORIA,01 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Food Establishment,Letter Grading,10456,BRONX,03 BRONX,BRONX
Department of Transportation,Street Condition,Pothole,10457,BRONX,04 BRONX,BRONX
Department of Transportation,Street Condition,Pothole,10457,BRONX,04 BRONX,BRONX
Department of Transportation,Street Condition,Pothole,10457,BRONX,04 BRONX,BRONX
Department of Transportation,Street Condition,Pothole,10457,BRONX,04 BRONX,BRONX
Department of Transportation,Street Condition,Pothole,10457,BRONX,04 BRONX,BRONX
Department of Transportation,Street Condition,Pothole,10457,BRONX,04 BRONX,BRONX
Department of Transportation,Street Condition,Pothole,10452,BRONX,04 BRONX,BRONX
Department of Transportation,Street Condition,Pothole,11219,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Transportation,Street Condition,Pothole,11220,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Transportation,Traffic Signal Condition,Flashing Hazard,11377,Woodside,03 QUEENS,QUEENS
Department of Health and Mental Hygiene,Smoking,Smoking Violation,10018,NEW YORK,05 MANHATTAN,MANHATTAN
Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,11226,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,11378,MASPETH,05 QUEENS,QUEENS
A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,10453,BRONX,05 BRONX,BRONX
New York City Police Department,Illegal Parking,Blocked Hydrant,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,11230,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,11204,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Transportation,Street Condition,Pothole,11220,BROOKLYN,07 BROOKLYN,BROOKLYN
Department of Transportation,Traffic Signal Condition,Controller,11374,Rego Park,06 QUEENS,QUEENS
A - Brooklyn,Other Enforcement,E6 Commercial Waste Disposal,11219,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11206,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11206,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking - Private Residence (CMR),11208,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Transportation,Street Light Condition,Street Light Out,10308,STATEN ISLAND,03 STATEN ISLAND,STATEN ISLAND
Department of Sanitation,Graffiti,Graffiti,11206,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11221,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,,,Unspecified BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11221,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11206,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,,,Unspecified BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11206,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,,,Unspecified BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,,,Unspecified BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11206,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11206,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11205,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11205,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11205,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11205,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11205,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11205,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11205,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,,,Unspecified BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11205,BROOKLYN,01 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,,,Unspecified BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,,,Unspecified BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11205,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11205,BROOKLYN,02 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11205,BROOKLYN,02 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11213,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11213,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11213,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11213,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11213,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,10452,BRONX,04 BRONX,BRONX
Department of Sanitation,Graffiti,Graffiti,11219,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11219,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11220,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Sanitation,Graffiti,Graffiti,11220,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
Department of Buildings,Elevator,Elevator - Defective/Not Working,10453,BRONX,05 BRONX,BRONX
Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,10016,NEW YORK,05 MANHATTAN,MANHATTAN
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11355,Flushing,07 QUEENS,QUEENS
