Agency,Business Title,Civil Service Title,Level,Division/Work Unit
DEPT OF ENVIRONMENT PROTECTION,Laboratory Microbiologist 1,LABORATORY MICROBIOLOGIST,01,Microbiology Lab Services
TAXI & LIMOUSINE COMMISSION,General Counsel/Deputy Commissioner for Legal Affairs,EXECUTIVE AGENCY COUNSEL,M4,Legal Affairs
TAXI & LIMOUSINE COMMISSION,General Counsel/Deputy Commissioner for Legal Affairs,EXECUTIVE AGENCY COUNSEL,M4,Legal Affairs
DEPT OF HEALTH/MENTAL HYGIENE,City Medical Examiner I,CITY MEDICAL EXAMINER (OCME),01,OCME-Pathology
DEPT OF HEALTH/MENTAL HYGIENE,City Medical Examiner I,CITY MEDICAL EXAMINER (OCME),01,OCME-Pathology
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Grant Manager, Grants Management and Administration",ADMINISTRATIVE STAFF ANALYST (,00,Grants Management & Admin
DEPT OF HEALTH/MENTAL HYGIENE,"POD Planning Coordinator, Emergency Preparedness and Response",ADMINISTRATIVE STAFF ANALYST (,00,"Policy, Resilience & Response"
DEPT OF HEALTH/MENTAL HYGIENE,"POD Planning Coordinator, Emergency Preparedness and Response",ADMINISTRATIVE STAFF ANALYST (,00,"Policy, Resilience & Response"
DEPT OF INFO TECH & TELECOMM,Financial/Administrative Analytics Manager,ADMINISTRATIVE STAFF ANALYST (,00,Financial Services
DEPARTMENT OF TRANSPORTATION,Service Inspector (DOT),SERVICE INSPECTOR (DOT),00,Parking Adm-Exec
DEPARTMENT OF TRANSPORTATION,Service Inspector (DOT),SERVICE INSPECTOR (DOT),00,Parking Adm-Exec
DEPT OF ENVIRONMENT PROTECTION,Principal Administrative Associate,PRINCIPAL ADMINISTRATIVE ASSOC,02,Ben Neslin Lab
DEPT OF HEALTH/MENTAL HYGIENE,"Research Data Analyst, Veterinary and Pest Control",CITY RESEARCH SCIENTIST,01,Pest Control Services
DEPT OF HEALTH/MENTAL HYGIENE,"Research Data Analyst, Veterinary and Pest Control",CITY RESEARCH SCIENTIST,01,Pest Control Services
DEPT OF PARKS & RECREATION,Site Administrator,COMPUTER ASSOC (OPERATIONS),03,Deputy Comm of Management
DEPT OF ENVIRONMENT PROTECTION,Principal Administrative Associate,PRINCIPAL ADMINISTRATIVE ASSOC,02,Ben Neslin Lab
DEPARTMENT OF BUSINESS SERV.,"DIRECTOR, WORKFORCE INVESTMENT BOARD (WIB)",ADMINISTRATIVE BUSINESS PROMOT,M2,Workforce Investment Board
DEPARTMENT OF BUSINESS SERV.,"DIRECTOR, WORKFORCE INVESTMENT BOARD (WIB)",ADMINISTRATIVE BUSINESS PROMOT,M2,Workforce Investment Board
DEPARTMENT OF BUSINESS SERV.,ECONOMIC DEVELOPMENT ADVISOR,ADMINISTRATIVE BUSINESS PROMOT,M2,Workforce Investment Board
DEPARTMENT OF BUSINESS SERV.,ECONOMIC DEVELOPMENT ADVISOR,ADMINISTRATIVE BUSINESS PROMOT,M2,Workforce Investment Board
DEPT OF PARKS & RECREATION,Public Programs Budget Supervisor,ADM MANAGER-NON-MGRL FRM M1/M2,00,Deputy Comm of Management
DEPT OF PARKS & RECREATION,Project Manager for Operations Excellence,ADM MANAGER-NON-MGRL FRM M1/M2,00,Deputy Comm of Operations
DEPT OF PARKS & RECREATION,Project Planner,ADM MANAGER-NON-MGRL FRM M1/M2,00,Deputy Comm For Capital Pro
DEPARTMENT OF BUSINESS SERV.,WORKFORCE INVESTMENT BOARD (WIB) COORDINATOR,COMMUNITY COORDINATOR,00,Workforce Investment Board
DEPARTMENT OF BUSINESS SERV.,WORKFORCE INVESTMENT BOARD (WIB) COORDINATOR,COMMUNITY COORDINATOR,00,Workforce Investment Board
FINANCIAL INFO SVCS AGENCY,FACT TEAM and TRAINING ANALYST TEAM LEAD,COMPUTER SYSTEMS MANAGER,M1,"Fin Sys, Bus Analys"
DEPARTMENT OF TRANSPORTATION,Boiler Maker,BOILER MAKER,00,F&GA-Pier 7 Maintenance
DEPT OF PARKS & RECREATION,Project Planner,ADM MANAGER-NON-MGRL FRM M1/M2,00,Deputy Comm For Capital Pro
DEPT OF PARKS & RECREATION,Project Planner,ADM MANAGER-NON-MGRL FRM M1/M2,00,Deputy Comm For Capital Pro
DEPT OF ENVIRONMENT PROTECTION,Ecological Project Manager,CITY RESEARCH SCIENTIST,02,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Ecological Project Manager,CITY RESEARCH SCIENTIST,02,Dept of Environment Protection
DEPT OF PARKS & RECREATION,Director of Stewardship,ADMINISTRATIVE PARKS & RECREAT,M1,Deputy Comm of Operations
DEPARTMENT OF TRANSPORTATION,Boiler Maker,BOILER MAKER,00,F&GA-Pier 7 Maintenance
DEPT OF INFO TECH & TELECOMM,311 Legal Services Manager,EXECUTIVE AGENCY COUNSEL,M2,311 Operations
FINANCIAL INFO SVCS AGENCY,DMS TEAM LEAD,COMPUTER SYSTEMS MANAGER,M1,"Fin Sys, Bus Analys"
FINANCIAL INFO SVCS AGENCY,DMS TEAM LEAD,COMPUTER SYSTEMS MANAGER,M1,"Fin Sys, Bus Analys"
DEPT OF PARKS & RECREATION,Director of Conservation,ADMINISTRATIVE HORTICULTURIST,M1,Deputy Comm of Operations
DEPT OF PARKS & RECREATION,Director of Conservation,ADMINISTRATIVE HORTICULTURIST,M1,Deputy Comm of Operations
DEPT OF PARKS & RECREATION,Director of Conservation,ADMINISTRATIVE HORTICULTURIST,M1,Deputy Comm of Operations
ADMIN FOR CHILDREN'S SVCS,Deputy Commissioner,ADMINISTRATIVE STAFF ANALYST (,M7,Dpty Comm Admin (Admin)
ADMIN FOR CHILDREN'S SVCS,Deputy Commissioner,ADMINISTRATIVE STAFF ANALYST (,M7,Dpty Comm Admin (Admin)
DEPARTMENT OF TRANSPORTATION,Investigator,INVESTIGATOR,00,Parking Adm-Exec
DEPARTMENT OF TRANSPORTATION,Investigator,INVESTIGATOR,00,Parking Adm-Exec
DEPT OF CITYWIDE ADMIN SVCS,SPECIAL OFFICER,SPECIAL OFFICER,00,Security
DEPT OF CITYWIDE ADMIN SVCS,SPECIAL OFFICER,SPECIAL OFFICER,00,Security
DEPT OF HEALTH/MENTAL HYGIENE,"Supervisor Pest Control, Bureau of Veterinary and Pest Control Services",SUPERVISOR (PEST CONTROL),03,Vector Surveillance
DEPT OF HEALTH/MENTAL HYGIENE,"Supervisor Pest Control, Bureau of Veterinary and Pest Control Services",SUPERVISOR (PEST CONTROL),03,Vector Surveillance
DEPT OF ENVIRONMENT PROTECTION,Procurement Officer,PROCUREMENT ANALYST,02,E Hudson Dist Shop 60 Kensic
DEPARTMENT OF TRANSPORTATION,D/C for Traffic & Planning,ADMINISTRATIVE TRANSPORTATION,M7,Planning And Sustainability
DEPARTMENT OF TRANSPORTATION,D/C for Traffic & Planning,ADMINISTRATIVE TRANSPORTATION,M7,Planning And Sustainability
LANDMARKS PRESERVATION COMM,PRESERVATION INTERN,SUMMER GRADUATE INTERN,00,Landmarks
LANDMARKS PRESERVATION COMM,PRESERVATION INTERN,SUMMER GRADUATE INTERN,00,Landmarks
DEPT OF ENVIRONMENT PROTECTION,Procurement Officer,PROCUREMENT ANALYST,02,E Hudson Dist Shop 60 Kensic
DEPT OF HEALTH/MENTAL HYGIENE,Pharmacist,HEALTH SERVICES MANAGER,M2,CHS Medical
DEPT OF HEALTH/MENTAL HYGIENE,Pharmacist,HEALTH SERVICES MANAGER,M2,CHS Medical
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Bank Account Services
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Bank Account Services
NYC EMPLOYEES RETIREMENT SYS,"Associate Retirement Benefits Examiner, Level 3",ASSOCIATE RETIREMENT BENEFITS,03,Executive Management
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Cash Management
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Cash Management
DEPARTMENT FOR THE AGING,Housing Development Specialist II,HOUSING DEVELOPMENT SPECIALIST,02,Facilities Management Unit
DEPARTMENT FOR THE AGING,Housing Development Specialist II,HOUSING DEVELOPMENT SPECIALIST,02,Facilities Management Unit
DEPARTMENT FOR THE AGING,Management Auditor I,MANAGEMENT AUDITOR,01,Contract Accounting
DEPARTMENT FOR THE AGING,Management Auditor I,MANAGEMENT AUDITOR,01,Contract Accounting
DEPT OF HEALTH/MENTAL HYGIENE,Assisted Outpatient Treatment (AOT) Senior Medical Advisor,AGENCY MEDICAL DIRECTOR,M1,MH - Assisted out Treatment
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Court Assets
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Court Assets
DEPT OF ENVIRONMENT PROTECTION,Motor Vehicle Supervisor,MOTOR VEHICLE SUPERVISOR,01,Solid Residuals Transport
DEPT OF ENVIRONMENT PROTECTION,Motor Vehicle Supervisor,MOTOR VEHICLE SUPERVISOR,01,Solid Residuals Transport
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,00,Agency Chief Contracting Ofc
DEPT OF HEALTH/MENTAL HYGIENE,Assisted Outpatient Treatment (AOT) Senior Medical Advisor,AGENCY MEDICAL DIRECTOR,M1,MH - Assisted out Treatment
DEPT OF HEALTH/MENTAL HYGIENE,Deputy Director/NYC Supported Transition & Recovery Team,HEALTH SERVICES MANAGER,M1,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,Deputy Director/NYC Supported Transition & Recovery Team,HEALTH SERVICES MANAGER,M1,Mental Health
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,00,Agency Chief Contracting Ofc
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,00,Tax Policy Sample Tax Research
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,00,Tax Policy Sample Tax Research
DEPARTMENT FOR THE AGING,General Services Assistant,COMMUNITY ASSOCIATE,00,General Services
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,00,Personal Exemptions
DEPT OF HEALTH/MENTAL HYGIENE,"Child Care Data Analyst, Bureau of Childcare",CITY RESEARCH SCIENTIST,01,Child Care
DEPT OF HEALTH/MENTAL HYGIENE,Data Analyst/NYC Supported Transition & Recovery Team,CITY RESEARCH SCIENTIST,02,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,Data Analyst/NYC Supported Transition & Recovery Team,CITY RESEARCH SCIENTIST,02,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,"Project Officer, HIV/AIDS Prevention and Control",CITY RESEARCH SCIENTIST,01,HIV/AIDS Care & Treatment
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,00,Personal Exemptions
TEACHERS RETIREMENT SYSTEM,Accounting Specialist,ASSOCIATE RETIREMENT BENEFITS,01,Loans & TDA ProcessingÂ Â Â Â 
DEPARTMENT OF TRANSPORTATION,Telecom Technician,COMPUTER SERVICE TECHNICIAN (C,02,IT & Telecom
DEPARTMENT OF TRANSPORTATION,Telecom Technician,COMPUTER SERVICE TECHNICIAN (C,02,IT & Telecom
DEPT OF HEALTH/MENTAL HYGIENE,"Project Officer, HIV/AIDS Prevention and Control",CITY RESEARCH SCIENTIST,01,HIV/AIDS Care & Treatment
DEPT OF HEALTH/MENTAL HYGIENE,"New York Knows Project Officer, HIV/AIDS Prevention and Control",CITY RESEARCH SCIENTIST,01,HIV/AIDS Prevention
DEPT OF HEALTH/MENTAL HYGIENE,"New York Knows Project Officer, HIV/AIDS Prevention and Control",CITY RESEARCH SCIENTIST,01,HIV/AIDS Prevention
HOUSING PRESERVATION & DVLPMNT,Labor Compliance Officer,COMMUNITY COORDINATOR,00,Labor Monitoring Unit
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Internal Audit
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Internal Audit
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Parking Operations & Planning
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Parking Operations & Planning
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,A/C Program Operations
HOUSING PRESERVATION & DVLPMNT,Labor Compliance Officer,COMMUNITY COORDINATOR,00,Labor Monitoring Unit
DEPARTMENT OF CORRECTION,Stationary Engineer,STATIONARY ENGINEER,00,R.I. Support Opp - Civilian
DEPARTMENT OF CORRECTION,Stationary Engineer,STATIONARY ENGINEER,00,R.I. Support Opp - Civilian
DEPARTMENT OF CORRECTION,Oiler,OILER,00,R.I. Support Opp - Civilian
DEPARTMENT OF CORRECTION,Oiler,OILER,00,R.I. Support Opp - Civilian
ADMIN FOR CHILDREN'S SVCS,Team Leader,AGENCY ATTORNEY,03,Family Court Legal Svcs-Fcls
DEPT OF HEALTH/MENTAL HYGIENE,"Program Analyst, HIV/AIDS Prevention and Control",ADMINISTRATIVE STAFF ANALYST (,00,HIV/AIDS Hopwa
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,A/C Program Operations
ADMIN FOR CHILDREN'S SVCS,Crossover Youth Specialist,COMMUNITY COORDINATOR,00,DYFJ Central/LTD Secure Plcmnt
ADMIN FOR CHILDREN'S SVCS,Crossover Youth Specialist,COMMUNITY COORDINATOR,00,DYFJ Central/LTD Secure Plcmnt
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Commercial Exemptions
DEPT OF HEALTH/MENTAL HYGIENE,"Program Analyst, HIV/AIDS Prevention and Control",ADMINISTRATIVE STAFF ANALYST (,00,HIV/AIDS Hopwa
CONSUMER AFFAIRS,Legal Operations Coordinator,COMMUNITY COORDINATOR,00,Legal Compliance & Fitness Div
CONSUMER AFFAIRS,Legal Operations Coordinator,COMMUNITY COORDINATOR,00,Legal Compliance & Fitness Div
DEPT OF HEALTH/MENTAL HYGIENE,City Medical Examiner,CITY MEDICAL EXAMINER (OCME),02,OCME-Pathology
DEPT OF HEALTH/MENTAL HYGIENE,City Medical Examiner,CITY MEDICAL EXAMINER (OCME),02,OCME-Pathology
DEPT OF ENVIRONMENT PROTECTION,Watershed Maintainer,WATERSHED MAINTAINER,00,E of Hudson Fld Maint (Carmel)
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Commercial Exemptions
DEPARTMENT OF FINANCE,Property Assessment Coordinator,COMPUTER SPECIALIST (SOFTWARE),04,Property and Tax Payments
DEPARTMENT OF FINANCE,Property Assessment Coordinator,COMPUTER SPECIALIST (SOFTWARE),04,Property and Tax Payments
CIVILIAN COMPLAINT REVIEW BD,Mediation Coordinator Level 2,INVESTIGATOR (CCRB),02,Civilian Complaint Review Bd
ADMIN FOR CHILDREN'S SVCS,"Family Assessment Program, Program Director",ADMINISTRATIVE DIRECTOR OF SOC,M1,Family assessment Program-YFJ
DEPT OF ENVIRONMENT PROTECTION,Watershed Maintainer,WATERSHED MAINTAINER,00,E of Hudson Fld Maint (Carmel)
DEPT OF HEALTH/MENTAL HYGIENE,Public Health Adviser,PUBLIC HEALTH ADVISER,02,HIV/AIDS Administration
DEPT OF HEALTH/MENTAL HYGIENE,Public Health Adviser,PUBLIC HEALTH ADVISER,02,HIV/AIDS Administration
DEPARTMENT OF CORRECTION,Investigator (Discipline/Staff Conduct),INVESTIGATOR(DISCP)(ONLY FOR P,01,Investigation Division
DEPT OF CITYWIDE ADMIN SVCS,Administrative Staff Analyst,ADM MANAGER-NON-MGRL FRM M1/M2,00,OCP/DCAS Logistics
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Nurse, Bureau of School Health",PUBLIC HEALTH NURSE (SCHOOL HE,01,SH Nursing Services & Prof Dev
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Nurse, Bureau of School Health",PUBLIC HEALTH NURSE (SCHOOL HE,01,SH Nursing Services & Prof Dev
DEPT OF HEALTH/MENTAL HYGIENE,"Junior Claiming Analyst, Bureau of Budget and Revenue",ACCOUNTANT,01,Fed-St-Other Cat Claims & Revs
DEPT OF HEALTH/MENTAL HYGIENE,"Junior Claiming Analyst, Bureau of Budget and Revenue",ACCOUNTANT,01,Fed-St-Other Cat Claims & Revs
DEPT OF HEALTH/MENTAL HYGIENE,Administravive Assistant/NYC Supported Transition and Recovery Team (NYCSTART),PRINCIPAL ADMINISTRATIVE ASSOC,01,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,Administravive Assistant/NYC Supported Transition and Recovery Team (NYCSTART),PRINCIPAL ADMINISTRATIVE ASSOC,01,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,"Program Consultant, Bureau of Alcohol and Drug Use Prevention, Care and Treatment",SPECIAL CONSULTANT (MENTAL HEA,02,"Alcohol, Drug Prev & Treatment"
DEPT OF HEALTH/MENTAL HYGIENE,"Program Consultant, Bureau of Alcohol and Drug Use Prevention, Care and Treatment",SPECIAL CONSULTANT (MENTAL HEA,02,"Alcohol, Drug Prev & Treatment"
DEPT OF ENVIRONMENT PROTECTION,Laboratory Microbiologist 1,LABORATORY MICROBIOLOGIST,01,Microbiology Lab Services
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Property Field Central
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,00,Property Field Central
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,00,Property-Quality Assurance
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,00,Property-Quality Assurance
DEPT OF ENVIRONMENT PROTECTION,Mariner,MARINER,00,Marine Section
DEPT OF ENVIRONMENT PROTECTION,Mariner,MARINER,00,Marine Section
DEPT OF INFO TECH & TELECOMM,Operations Associate,COMPUTER ASSOC (OPERATIONS),03,General Counsel
DEPT OF INFO TECH & TELECOMM,Operations Associate,COMPUTER ASSOC (OPERATIONS),03,General Counsel
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,JOCS- IFA
DEPT OF ENVIRONMENT PROTECTION,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,JOCS- IFA
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,00,Property Modeling Group
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,00,Property Modeling Group
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Operations, Bureau of Chronic Disease Prevention and Tobacco",HEALTH SERVICES MANAGER,M2,Chronic Disease Prevention
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Operations, Bureau of Chronic Disease Prevention and Tobacco",HEALTH SERVICES MANAGER,M2,Chronic Disease Prevention
ADMIN FOR CHILDREN'S SVCS,Investigative Consultant Level 2,PROTECTION AGENT (ACS),02,Office Of The Commissioner(Cr)
HOUSING PRESERVATION & DVLPMNT,Housing Placement Coordinator,COMPUTER ASSOC (TECH SUPP),01,DPM A/C
HOUSING PRESERVATION & DVLPMNT,Housing Placement Coordinator,COMPUTER ASSOC (TECH SUPP),01,DPM A/C
HRA/DEPT OF SOCIAL SERVICES,ATTORNEY II,AGENCY ATTORNEY,02,Office Of Legal Affairs-NM
DEPT OF HEALTH/MENTAL HYGIENE,Regional Manager - Bronx,HEALTH SERVICES MANAGER,M1,Operations
ADMIN FOR CHILDREN'S SVCS,Investigative Consultant Level 2,PROTECTION AGENT (ACS),02,Office Of The Commissioner(Cr)
ADMIN FOR CHILDREN'S SVCS,Director/ Office of Shared Response,ADMINISTRATIVE DIRECTOR OF SOC,M2,Off Of Adm Case Work Suprt-Fps
ADMIN FOR CHILDREN'S SVCS,Director/ Office of Shared Response,ADMINISTRATIVE DIRECTOR OF SOC,M2,Off Of Adm Case Work Suprt-Fps
DEPARTMENT OF TRANSPORTATION,Staff Analyst Trainee,STAFF ANALYST TRAINEE,00,Sidewalk/inspection Management
DEPARTMENT OF TRANSPORTATION,Staff Analyst Trainee,STAFF ANALYST TRAINEE,00,Sidewalk/inspection Management
ADMIN FOR CHILDREN'S SVCS,Resource Areas Director/Manhattan/Brooklyn & Staten Island	,ADMINISTRATIVE DIRECTOR OF SOC,M1,Early Care Operations (ECE)
ADMIN FOR CHILDREN'S SVCS,Resource Areas Director/Manhattan/Brooklyn & Staten Island	,ADMINISTRATIVE DIRECTOR OF SOC,M1,Early Care Operations (ECE)
DEPT OF HEALTH/MENTAL HYGIENE,Regional Manager - Bronx,HEALTH SERVICES MANAGER,M1,Operations
DEPT OF HEALTH/MENTAL HYGIENE,"Deputy Press Secretary, Office of External Affairs",ADMINISTRATIVE STAFF ANALYST (,00,Intergovernmental Affairs
DEPT OF HEALTH/MENTAL HYGIENE,"Deputy Press Secretary, Office of External Affairs",ADMINISTRATIVE STAFF ANALYST (,00,Intergovernmental Affairs
ADMIN FOR CHILDREN'S SVCS,Executive Assistant,PRINCIPAL ADMINISTRATIVE ASSOC,03,Family Court Legal Svcs-Fcls
DEPT OF ENVIRONMENT PROTECTION,Contract Officer,STAFF ANALYST,02,E Hudson Dist Shop 60 Kensic
DEPT OF ENVIRONMENT PROTECTION,Contract Officer,STAFF ANALYST,02,E Hudson Dist Shop 60 Kensic
DEPT OF HEALTH/MENTAL HYGIENE,"City Research Scientist, Bureau of Environmental Sciences and Engineering",CITY RESEARCH SCIENTIST,01,Public Health Engineering
DEPT OF HEALTH/MENTAL HYGIENE,"City Research Scientist, Bureau of Environmental Sciences and Engineering",CITY RESEARCH SCIENTIST,01,Public Health Engineering
FINANCIAL INFO SVCS AGENCY,SHARED SYSTEMS TEST LEAD,COMPUTER SYSTEMS MANAGER,M1,Shared System-Info System
FIRE DEPARTMENT,Deputy Commissioner/Chief Compliance Officer,EXECUTIVE AGENCY COUNSEL,M7,Commissioners' Offices
FIRE DEPARTMENT,Deputy Commissioner/Chief Compliance Officer,EXECUTIVE AGENCY COUNSEL,M7,Commissioners' Offices
DEPT OF HEALTH/MENTAL HYGIENE,"City Research Scientist, Bureau of Immunization Surveillance",CITY RESEARCH SCIENTIST,02,Immunization Surveillance
DEPT OF HEALTH/MENTAL HYGIENE,"City Research Scientist, Bureau of Immunization Surveillance",CITY RESEARCH SCIENTIST,02,Immunization Surveillance
DEPARTMENT OF CITY PLANNING,Deputy Director for EARD,ADMINISTRATIVE CITY PLANNER,M1,Environmental Review
DEPARTMENT OF BUILDINGS,Build It Back Plan Exam Supervisor,PLAN EXAMINER (BLDGS),00,Ad Exc Borough Operations
DEPT OF HEALTH/MENTAL HYGIENE,"IT Project Manager, Bureau of IT Solutions and Delivery",COMPUTER SYSTEMS MANAGER,M1,IT Solutions and Delivery
DEPT OF HEALTH/MENTAL HYGIENE,"IT Project Manager, Bureau of IT Solutions and Delivery",COMPUTER SYSTEMS MANAGER,M1,IT Solutions and Delivery
DEPT OF PARKS & RECREATION,Environmental Project Manager,CITY RESEARCH SCIENTIST,03,Deputy Comm For Capital Pro
DEPT OF PARKS & RECREATION,Environmental Project Manager,CITY RESEARCH SCIENTIST,03,Deputy Comm For Capital Pro
DEPT OF PARKS & RECREATION,Environmental Project Manager,CITY RESEARCH SCIENTIST,03,Deputy Comm For Capital Pro
HRA/DEPT OF SOCIAL SERVICES,PROJECT ASSISTANT,COMPUTER ASSOC (TECH SUPP),01,Med Insur/Community Svc-NM
DEPT OF PARKS & RECREATION,Director of Capital Projects,ADMINISTRATIVE STAFF ANALYST (,00,Deputy Comm of Operations
DEPT OF PARKS & RECREATION,Supervisor for Accounts Payable,ADM MANAGER-NON-MGRL FRM M1/M2,00,Deputy Comm of Management
HRA/DEPT OF SOCIAL SERVICES,SECTION SUPERVISOR,PRINCIPAL ADMINISTRATIVE ASSOC,02,FIA Food Stamps-NM
HRA/DEPT OF SOCIAL SERVICES,CENTER DEPUTY DIRECTOR,PRINCIPAL ADMINISTRATIVE ASSOC,03,FIA Food Stamps-NM
DEPT OF HEALTH/MENTAL HYGIENE,Junior Public Health Nurse,JR PHNURSE (SCH HLTH)>20 HR PT,00,SH Nursing Services & Prof Dev
DEPT OF HEALTH/MENTAL HYGIENE,Junior Public Health Nurse,JR PHNURSE (SCH HLTH)>20 HR PT,00,SH Nursing Services & Prof Dev
DEPARTMENT OF CORRECTION,Personnel Supervisor,PROGRAM SPECIALIST  CORRECTION,03,Spec Oper Div (SOD) Civilian
HRA/DEPT OF SOCIAL SERVICES,CLERICAL SUPPORT ASSOCIATE,CLERICAL ASSOCIATE,03,Micsa Home Care Svcs-NM
DEPT OF PARKS & RECREATION,Afterschool/Summer Camp Coordinator,RECREATION SPECIALIST (DEPT OF,00,Deputy Comm of Management
HRA/DEPT OF SOCIAL SERVICES,FLEET SUPPORT ASSOCIATE,CLERICAL ASSOCIATE,03,Office Of Revenue/Admin-NM
DEPT OF PARKS & RECREATION,Borough Afterschool and Summer Camp Coordinator,RECREATION SUPERVISOR,00,Deputy Comm of Management
DEPT OF PARKS & RECREATION,Volunteer Coodinator,COMMUNITY ASSOCIATE,00,Deputy Comm of Operations
DEPT OF PARKS & RECREATION,Director of Government Relations,ADMINISTRATIVE STAFF ANALYST (,00,Deputy Comm of Management
DEPT OF PARKS & RECREATION,Director of Government Relations,ADMINISTRATIVE STAFF ANALYST (,00,Deputy Comm of Management
DEPT OF PARKS & RECREATION,Director of Government Relations,ADMINISTRATIVE STAFF ANALYST (,00,Deputy Comm of Management
DEPT OF PARKS & RECREATION,Civil Engineering Intern,CIVIL ENGINEERING INTERN,00,Deputy Comm For Capital Pro
DEPT OF PARKS & RECREATION,Civil Engineering Intern,CIVIL ENGINEERING INTERN,00,Deputy Comm For Capital Pro
DEPT OF PARKS & RECREATION,Forester,FORESTER,02,Deputy Comm of Operations
DEPT OF PARKS & RECREATION,Forester,FORESTER,02,Deputy Comm of Operations
DEPT OF PARKS & RECREATION,Forester,FORESTER,02,Deputy Comm of Operations
